Date,ARIMA_Forecast,LR_Forecast,RF_Forecast
2025-01-01,249.4355352056729,248.38201386802345,253.26390384250217
2025-01-02,249.56513480214397,248.2405472529472,253.402146742079
2025-01-03,249.58267842532587,248.78816406505996,253.48410688612196
2025-01-06,249.5787560350611,249.40380280338343,252.29110324435766
2025-01-07,249.5769756436947,248.85303239742964,252.5350656467014
2025-01-08,249.576846459718,248.9312236402121,251.4025223880344
2025-01-09,249.5769225308844,249.14582678208816,250.84142695956763
2025-01-10,249.57694500351866,249.2896251567628,250.6593505689833
2025-01-13,249.57694511682425,249.12545336414476,250.61582702975807
2025-01-14,249.576943855587,249.4612789079892,250.73651469251848
2025-01-15,249.57694359887415,250.0457859079543,250.87311671786838
2025-01-16,249.57694361998654,250.42256253939078,250.7188311343723
2025-01-17,249.5769436388398,250.44533554351747,250.759959415012
2025-01-20,249.5769436413744,250.9848567909486,250.7458235202366
2025-01-21,249.57694364080035,251.16847096185472,250.8228647316827
2025-01-22,249.57694364054166,251.00177306431473,251.07965195041237
2025-01-23,249.57694364052313,251.23363542118048,250.84798261345762
2025-01-24,249.57694364053424,251.0739695975088,250.71735389624703
2025-01-27,249.5769436405375,251.5294955923032,250.71825013393828
2025-01-28,249.5769436405375,251.07094274310288,250.7103998853896
2025-01-29,249.57694364053734,250.7120306185632,250.98042981804747
2025-01-30,249.5769436405373,251.1388089710238,251.5127716098362
2025-01-31,249.5769436405373,251.9203654661813,252.44934521145294
2025-02-03,249.5769436405373,251.98460905231806,252.83295430077447
2025-02-04,249.5769436405373,252.42557160053005,252.65648504469132
2025-02-05,249.5769436405373,251.92694358202044,252.73658748202854
2025-02-06,249.5769436405373,251.41678433434478,252.73619039747453
2025-02-07,249.5769436405373,251.50328389906454,252.75974961174862
2025-02-10,249.5769436405373,251.80039607138528,252.6211437310113
2025-02-11,249.5769436405373,251.725157166677,252.619716067844
2025-02-12,249.5769436405373,252.06379680000435,252.6502118259006
2025-02-13,249.5769436405373,252.20321515372615,252.6502118259006
2025-02-14,249.5769436405373,252.11019400372098,252.6502450900608
2025-02-17,249.5769436405373,251.4482874272309,252.6502450900608
2025-02-18,249.5769436405373,251.4375075117698,252.65011254204646
2025-02-19,249.5769436405373,252.40389416114593,252.67592919243708
2025-02-20,249.5769436405373,253.06504887220612,252.67592919243708
2025-02-21,249.5769436405373,253.4555391590536,252.67592919243708
2025-02-24,249.5769436405373,253.7316779012991,252.67592919243708
2025-02-25,249.5769436405373,253.4797639820076,252.67592919243708
2025-02-26,249.5769436405373,253.5885532361477,252.67592919243708
2025-02-27,249.5769436405373,253.75083297345824,252.67592919243708
2025-02-28,249.5769436405373,253.50431218887462,252.67592919243708
2025-03-03,249.5769436405373,253.49869387288018,252.67592919243708
2025-03-04,249.5769436405373,253.65334921269144,252.67592919243708
2025-03-05,249.5769436405373,253.63990795998538,252.67592919243708
2025-03-06,249.5769436405373,253.64114908318132,252.67592919243708
2025-03-07,249.5769436405373,253.92417519761014,252.67592919243708
2025-03-10,249.5769436405373,253.95303704718557,252.67592919243708
2025-03-11,249.5769436405373,254.20558856920226,252.67592919243708
2025-03-12,249.5769436405373,254.62873102060954,252.67592919243708
2025-03-13,249.5769436405373,254.55809944599542,252.67592919243708
2025-03-14,249.5769436405373,254.39401521541095,252.67592919243708
2025-03-17,249.5769436405373,254.6533524013885,252.67592919243708
2025-03-18,249.5769436405373,254.76649282025272,252.67592919243708
2025-03-19,249.5769436405373,255.1043450969645,252.67592919243708
2025-03-20,249.5769436405373,255.7316763036006,252.67592919243708
2025-03-21,249.5769436405373,256.25580243404454,252.67592919243708
2025-03-24,249.5769436405373,256.5519447877556,252.67592919243708
2025-03-25,249.5769436405373,256.74120832193967,252.67592919243708
