,ARIMA_Close_Forecast,LR_Close_Forecast,RF_Close_Forecast
2025-01-01,250.3941651510043,229.46095873949005,234.85793130818482
2025-01-02,250.20660679092353,232.72022244024632,235.0195096018785
2025-01-03,248.22028691835084,229.07217974556465,232.21879395919893
2025-01-06,251.7052490589729,237.51163747920123,240.48450960283893
2025-01-07,253.59881099336678,241.81199056970672,241.92948813842716
2025-01-08,257.2808086856063,240.25745452536808,239.9751657761131
2025-01-09,259.6100231851894,239.93946118655245,241.94866289025785
2025-01-10,257.79737508213987,238.499462876811,238.944426396244
2025-01-13,258.96866940705604,239.44105577793067,239.80156399336042
2025-01-14,256.65403328537843,235.725090177164,236.59272789960247
2025-01-15,255.6922167912003,228.55897169266288,228.29739168914807
2025-01-16,253.9504123111481,226.66737650762624,225.40836712870535
2025-01-17,253.45621038247955,228.00435828303443,226.17799906853227
2025-01-20,254.2558686695763,230.8168179406671,230.01565631878228
2025-01-21,254.70325797402967,227.5500520361545,225.97752027998303
2025-01-22,254.70651869255127,223.89376825829416,224.16524390574145
2025-01-23,254.83163556026724,221.7844626590596,223.21503611481089
2025-01-24,254.77767632006461,220.81329377885473,220.9607618326545
2025-01-27,252.11525114163518,217.48398601144726,217.14908916475082
2025-01-28,252.59890961549885,214.50517773338532,217.05675061970967
2025-01-29,251.89556483441413,211.62169614325012,216.53202992314766
2025-01-30,249.41863317345917,215.70673021406725,217.26176950627814
2025-01-31,249.46335668307145,218.5493277932905,217.0890569627258
2025-02-03,248.94872997876993,215.85777988452466,216.77554921687212
2025-02-04,247.01916144964773,214.99898387151472,214.98690298380362
2025-02-05,247.18521558252687,215.1644048093477,216.014301224266
2025-02-06,249.20490177490151,219.51424784931172,217.98143787402438
2025-02-07,250.82697614176345,220.78421908112566,219.84236555898036
2025-02-10,250.6118790391056,218.62963066657844,219.95042381309085
2025-02-11,250.18460291587394,219.70053739203607,219.95244744966092
2025-02-12,248.2406724130572,222.2692475705953,224.2099030881061
2025-02-13,247.7920884479284,223.62238533553062,223.89003268997175
2025-02-14,248.01467349083114,227.16928544995298,229.04544554053118
2025-02-17,248.5807105783612,225.65155614366628,231.25181028458047
2025-02-18,248.09337428354092,227.28418219440772,231.1997792674658
2025-02-19,247.09672967318326,229.4310465294994,232.17108258816643
2025-02-20,244.0581630990157,229.6520111448063,228.53221390305157
2025-02-21,244.59185965210662,228.58605758837834,233.80766276077225
2025-02-24,245.30107434703757,230.4919772659621,241.79198894594506
2025-02-25,245.28711580965617,237.93713439823722,246.23188327580135
2025-02-26,246.68019786827944,237.9963961951468,247.73783764193533
2025-02-27,247.41699203726873,240.2519636756646,248.81071745043687
2025-02-28,245.24027172082205,236.3794151782813,247.5143878601211
2025-03-03,245.6934956001979,242.67931148913874,250.1002307104433
2025-03-04,246.8900009045651,245.57348211317407,253.41889802606508
2025-03-05,248.07024002190005,246.92008637610212,254.7488166709172
2025-03-06,250.34167351913226,249.64113874539714,255.83189742411253
2025-03-07,252.09187504716687,249.12363305681177,256.58208713066256
2025-03-10,248.0394335864212,247.83415811075568,252.25180690200256
2025-03-11,247.40795966671928,251.64078798546475,251.1699302000321
2025-03-12,246.98604477891254,243.7170466613055,250.58921809100374
2025-03-13,246.2635986400159,251.389315898782,249.65598203279546
2025-03-14,246.58261155440104,253.13586192337655,249.11805905885032
2025-03-17,244.89129242179294,255.72467324778157,246.98759148404613
2025-03-18,244.37663255533886,256.3902882340117,245.99566072845562
2025-03-19,246.1839312913056,256.3382836343972,247.58047313879507
2025-03-20,245.25373377233626,256.738291084847,245.99019652137545
2025-03-21,245.50115387138277,250.28971527737042,244.76708731905558
2025-03-24,245.54159141837016,246.79462409544848,243.06087532462374
2025-03-25,246.3306388866464,244.108950773373,242.24789613709328
