,ARIMA_Close_Forecast,LR_Close_Forecast,RF_Close_Forecast
2024-07-09,202.77413490628388,202.68557634759318,202.66929884387903
2024-07-10,202.8893313647282,202.79443655581497,202.78118801041722
2024-07-11,203.00500680029273,202.91065314257153,202.89419118186734
2024-07-12,203.11979013134626,203.01829662031383,203.01015681456823
2024-07-15,203.2300724855323,203.13463729521246,203.13100779036165
2024-07-16,203.36587336547765,203.2647292859195,203.25250509431208
2024-07-17,203.47892400534457,203.37877275328535,203.36975773464468
2024-07-18,203.6024334560747,203.50097508936875,203.49338142280826
2024-07-19,203.71118604112158,203.60714424096884,203.60084532962142
2024-07-22,203.82038686094418,203.7254801161288,203.7090916981538
2024-07-23,203.91307671068756,203.8076396194283,203.80220415214367
2024-07-24,204.0165558083898,203.90549299028388,203.9064921028574
2024-07-25,204.12422177186883,204.03710378966522,204.02514630081754
2024-07-26,204.2201855026253,204.16150167481914,204.15455444654617
2024-07-29,204.3322898280961,204.26561955167944,204.2553022546213
2024-07-30,204.4473384762512,204.36865187921288,204.37643714952875
2024-07-31,204.5743928957596,204.5091085501861,204.5094372553499
2024-08-01,204.66093784335743,204.61062702814934,204.60079211036845
2024-08-02,204.76475829079854,204.69987759657252,204.70375976922753
2024-08-05,204.8629699756572,204.8046632886616,204.80337535438701
2024-08-06,204.97247086283977,204.91039251844924,204.9160239069437
2024-08-07,205.0926686774517,205.04651197877337,205.03752075789498
2024-08-08,205.2032404000847,205.14440715539618,205.14688018735393
2024-08-09,205.32809460210677,205.27344291252336,205.27500759264166
2024-08-12,205.4241793015272,205.36942031377248,205.36952128342543
2024-08-13,205.54914821116455,205.4832643704787,205.49324636316842
2024-08-14,205.66242963500682,205.58786151754242,205.606249089395
2024-08-15,205.7972786574827,205.72744211207348,205.7376739320273
2024-08-16,205.9416663393486,205.87682712071043,205.8873922174415
2024-08-19,206.02380510878245,205.960869139966,205.96787977585586
2024-08-20,206.1472796335063,206.0664119883956,206.0911305792821
2024-08-21,206.25138592172132,206.1910117257675,206.19032953557073
2024-08-22,206.36049983008826,206.30464934626517,206.30194328081953
2024-08-23,206.46839258396543,206.40961980025503,206.41433899348092
2024-08-26,206.5757724827252,206.54813185964164,206.56460370284404
2024-08-27,206.6809695077817,206.6648280207641,206.66876920652658
2024-08-28,206.79526471671474,206.7913110223434,206.7869478966999
2024-08-29,206.89315559085475,206.8817004571075,206.88017443166288
2024-08-30,207.00275341846117,206.99068467916794,206.990589786705
2024-09-02,207.12472694475613,207.10501917824695,207.09899361323986
2024-09-03,207.23045791474522,207.22695094470404,207.22866403721522
2024-09-04,207.32793581765267,207.34995937068635,207.33858442473934
2024-09-05,207.43067082228336,207.46128079086034,207.43821612033176
2024-09-06,207.54935638541832,207.55707520214568,207.55788181702403
2024-09-09,207.6716125259383,207.6943739164127,207.68889942722564
2024-09-10,207.78920210938375,207.7844779763833,207.79122218008771
2024-09-11,207.90367424118668,207.92012307463406,207.89893797129952
2024-09-12,207.98808763790728,207.9700623800839,207.97541964261038
2024-09-13,208.09906167142643,208.0778359501613,208.0849715298222
2024-09-16,208.20904265851897,208.18706197921804,208.19306447150686
2024-09-17,208.32249610769404,208.31843678578954,208.30968627889598
2024-09-18,208.45964849848926,208.46067127422802,208.45216096327835
2024-09-19,208.55436283078168,208.55458612705573,208.54839382076088
2024-09-20,208.6857769431292,208.66025850384182,208.66967777285444
2024-09-23,208.80798421023485,208.83341930663576,208.80619069303881
2024-09-24,208.92967969711032,208.92389144849247,208.9265461287162
2024-09-25,209.04635325178975,209.05094164021673,209.0425387748916
2024-09-26,209.17203891515814,209.15518649053496,209.1562357920437
2024-09-27,209.29754362019077,209.29780114243275,209.29438326628897
2024-09-30,209.42402900726952,209.4309757003235,209.42916981504482
