Date,Close
2022-01-03,178.27029418945312
2022-01-04,176.00778198242188
2022-01-05,171.3260040283203
2022-01-06,168.46600341796875
2022-01-07,168.6324920654297
2022-01-10,168.65208435058594
2022-01-11,171.4827423095703
2022-01-12,171.92344665527344
2022-01-13,168.65208435058594
2022-01-14,169.51405334472656
2022-01-17,169.51405334472656
2022-01-18,166.3112030029297
2022-01-19,162.81454467773438
2022-01-20,161.1298828125
2022-01-21,159.0730438232422
2022-01-24,158.29922485351562
2022-01-25,156.49705505371094
2022-01-26,156.4088897705078
2022-01-27,155.94859313964844
2022-01-28,166.830322265625
2022-01-31,171.1888427734375
2022-02-01,171.02235412597656
2022-02-02,172.22706604003906
2022-02-03,169.34750366210938
2022-02-04,169.0631103515625
2022-02-07,168.34716796875
2022-02-08,171.45602416992188
2022-02-09,172.87803649902344
2022-02-10,168.79832458496094
2022-02-11,165.38548278808594
2022-02-14,165.62081909179688
2022-02-15,169.4553680419922
2022-02-16,169.2200164794922
2022-02-17,165.62081909179688
2022-02-18,164.07131958007812
2022-02-21,164.07131958007812
2022-02-22,161.14886474609375
2022-02-23,156.98085021972656
2022-02-24,159.59933471679688
2022-02-25,161.66860961914062
2022-02-28,161.9333953857422
2022-03-01,160.0504608154297
2022-03-02,163.34561157226562
2022-03-03,163.02197265625
2022-03-04,160.02101135253906
2022-03-07,156.22576904296875
2022-03-08,154.40158081054688
2022-03-09,159.80526733398438
2022-03-10,155.46080017089844
2022-03-11,151.743896484375
2022-03-14,147.7132110595703
2022-03-15,152.09693908691406
2022-03-16,156.5101318359375
2022-03-17,157.52023315429688
2022-03-18,160.81544494628906
2022-03-21,162.1884002685547
2022-03-22,165.56201171875
2022-03-23,166.92518615722656
2022-03-24,170.7106475830078
2022-03-25,171.34814453125
2022-03-28,172.2111358642578
2022-03-29,175.5063018798828
2022-03-30,174.33929443359375
2022-03-31,171.24026489257812
2022-04-01,170.94602966308594
2022-04-04,174.99635314941406
2022-04-05,171.6815948486328
2022-04-06,168.51393127441406
2022-04-07,168.8179168701172
2022-04-08,166.80746459960938
2022-04-11,162.55125427246094
2022-04-12,164.42442321777344
2022-04-13,167.11148071289062
2022-04-14,162.10011291503906
2022-04-15,162.10011291503906
2022-04-18,161.88436889648438
2022-04-19,164.16940307617188
2022-04-20,164.00267028808594
2022-04-21,163.2083282470703
2022-04-22,158.6676788330078
2022-04-25,159.73660278320312
2022-04-26,153.77395629882812
2022-04-27,153.5484161376953
2022-04-28,160.48199462890625
2022-04-29,154.6075439453125
2022-05-02,154.91156005859375
2022-05-03,156.4022216796875
